adj_stock,company,date,month_year,stock,symbol,rating
27.57,Apple Inc.,2015-11-30,2015-11,29.76,AAPL,
26.21,Apple Inc.,2015-12-07,2015-12,28.30,AAPL,
24.56,Apple Inc.,2015-12-14,2015-12,26.51,AAPL,
25.02,Apple Inc.,2015-12-21,2015-12,27.01,AAPL,
24.38,Apple Inc.,2015-12-28,2015-12,26.32,AAPL,
22.46,Apple Inc.,2016-01-04,2016-01,24.24,AAPL,
22.50,Apple Inc.,2016-01-11,2016-01,24.28,AAPL,
23.49,Apple Inc.,2016-01-18,2016-01,25.35,AAPL,
22.55,Apple Inc.,2016-01-25,2016-01,24.33,AAPL,
21.78,Apple Inc.,2016-02-01,2016-02,23.50,AAPL,
21.89,Apple Inc.,2016-02-08,2016-02,23.50,AAPL,
22.37,Apple Inc.,2016-02-15,2016-02,24.01,AAPL,
22.57,Apple Inc.,2016-02-22,2016-02,24.23,AAPL,
23.99,Apple Inc.,2016-02-29,2016-02,25.75,AAPL,
23.81,Apple Inc.,2016-03-07,2016-03,25.57,AAPL,
24.67,Apple Inc.,2016-03-13,2016-03,26.48,AAPL,
24.61,Apple Inc.,2016-03-20,2016-03,26.42,AAPL,
25.61,Apple Inc.,2016-03-27,2016-03,27.50,AAPL,
25.30,Apple Inc.,2016-04-03,2016-04,27.17,AAPL,
25.58,Apple Inc.,2016-04-10,2016-04,27.46,AAPL,
24.61,Apple Inc.,2016-04-17,2016-04,26.42,AAPL,
21.83,Apple Inc.,2016-04-24,2016-04,23.43,AAPL,
21.59,Apple Inc.,2016-05-01,2016-05,23.18,AAPL,
21.21,Apple Inc.,2016-05-08,2016-05,22.63,AAPL,
22.31,Apple Inc.,2016-05-15,2016-05,23.81,AAPL,
23.51,Apple Inc.,2016-05-22,2016-05,25.09,AAPL,
22.94,Apple Inc.,2016-05-29,2016-05,24.48,AAPL,
23.16,Apple Inc.,2016-06-05,2016-06,24.71,AAPL,
22.34,Apple Inc.,2016-06-12,2016-06,23.83,AAPL,
21.88,Apple Inc.,2016-06-19,2016-06,23.35,AAPL,
22.47,Apple Inc.,2016-06-26,2016-06,23.97,AAPL,
22.65,Apple Inc.,2016-07-03,2016-07,24.17,AAPL,
23.14,Apple Inc.,2016-07-10,2016-07,24.69,AAPL,
23.12,Apple Inc.,2016-07-17,2016-07,24.67,AAPL,
24.42,Apple Inc.,2016-07-24,2016-07,26.05,AAPL,
25.18,Apple Inc.,2016-07-31,2016-07,26.87,AAPL,
25.48,Apple Inc.,2016-08-07,2016-08,27.05,AAPL,A
25.76,Apple Inc.,2016-08-14,2016-08,27.34,AAPL,A
25.19,Apple Inc.,2016-08-21,2016-08,26.74,AAPL,A
25.38,Apple Inc.,2016-08-28,2016-08,26.93,AAPL,A
24.29,Apple Inc.,2016-09-04,2016-09,25.78,AAPL,A
27.07,Apple Inc.,2016-09-11,2016-09,28.73,AAPL,A
26.55,Apple Inc.,2016-09-18,2016-09,28.18,AAPL,A
26.63,Apple Inc.,2016-09-25,2016-09,28.26,AAPL,A
26.87,Apple Inc.,2016-10-02,2016-10,28.51,AAPL,A
27.71,Apple Inc.,2016-10-09,2016-10,29.41,AAPL,A
27.47,Apple Inc.,2016-10-16,2016-10,29.15,AAPL,A
26.79,Apple Inc.,2016-10-23,2016-10,28.43,AAPL,A
25.64,Apple Inc.,2016-10-30,2016-10,27.21,AAPL,A
25.67,Apple Inc.,2016-11-07,2016-11,27.11,AAPL,A
26.06,Apple Inc.,2016-11-14,2016-11,27.51,AAPL,A
26.47,Apple Inc.,2016-11-21,2016-11,27.95,AAPL,A
26.02,Apple Inc.,2016-11-28,2016-11,27.48,AAPL,A
26.98,Apple Inc.,2016-12-05,2016-12,28.49,AAPL,A
27.46,Apple Inc.,2016-12-12,2016-12,28.99,AAPL,A
27.59,Apple Inc.,2016-12-19,2016-12,29.13,AAPL,A
27.42,Apple Inc.,2016-12-26,2016-12,28.95,AAPL,A
27.92,Apple Inc.,2017-01-02,2017-01,29.48,AAPL,A
28.19,Apple Inc.,2017-01-09,2017-01,29.76,AAPL,A
28.41,Apple Inc.,2017-01-16,2017-01,30.00,AAPL,A
28.87,Apple Inc.,2017-01-23,2017-01,30.49,AAPL,A
30.56,Apple Inc.,2017-01-30,2017-01,32.27,AAPL,A
31.28,Apple Inc.,2017-02-06,2017-02,33.03,AAPL,A
32.27,Apple Inc.,2017-02-13,2017-02,33.93,AAPL,A
32.50,Apple Inc.,2017-02-20,2017-02,34.17,AAPL,A
33.24,Apple Inc.,2017-02-27,2017-02,34.94,AAPL,A
33.09,Apple Inc.,2017-03-06,2017-03,34.78,AAPL,A
33.29,Apple Inc.,2017-03-12,2017-03,35.00,AAPL,A
33.44,Apple Inc.,2017-03-19,2017-03,35.16,AAPL,A
34.16,Apple Inc.,2017-03-26,2017-03,35.92,AAPL,A
34.09,Apple Inc.,2017-04-02,2017-04,35.83,AAPL,A
33.54,Apple Inc.,2017-04-09,2017-04,35.26,AAPL,A
33.83,Apple Inc.,2017-04-16,2017-04,35.57,AAPL,A
34.16,Apple Inc.,2017-04-23,2017-04,35.91,AAPL,A
35.42,Apple Inc.,2017-04-30,2017-04,37.24,AAPL,A
37.12,Apple Inc.,2017-05-07,2017-05,39.03,AAPL,A
36.55,Apple Inc.,2017-05-14,2017-05,38.26,AAPL,A
36.68,Apple Inc.,2017-05-21,2017-05,38.40,AAPL,A
