adj_stock,company,date,environment,governance,month_year,riskscore,social,stock,symbol,rating
25.28,Apple Inc.,2016-08-07,0.5,10.2,2016-08,24,13.0,27.05,AAPL,A
25.55,Apple Inc.,2016-08-14,0.5,10.2,2016-08,24,13.0,27.34,AAPL,A
24.99,Apple Inc.,2016-08-21,0.5,10.2,2016-08,24,13.0,26.74,AAPL,A
25.17,Apple Inc.,2016-08-28,0.5,10.2,2016-08,24,13.0,26.93,AAPL,A
24.10,Apple Inc.,2016-09-04,0.5,10.2,2016-09,24,13.0,25.78,AAPL,A
26.85,Apple Inc.,2016-09-11,0.5,10.2,2016-09,24,13.0,28.73,AAPL,A
26.33,Apple Inc.,2016-09-18,0.5,10.2,2016-09,24,13.0,28.18,AAPL,A
26.41,Apple Inc.,2016-09-25,0.5,10.2,2016-09,24,13.0,28.26,AAPL,A
26.65,Apple Inc.,2016-10-02,0.5,10.2,2016-10,24,13.0,28.51,AAPL,A
27.48,Apple Inc.,2016-10-09,0.5,10.2,2016-10,24,13.0,29.41,AAPL,A
27.24,Apple Inc.,2016-10-16,0.5,10.2,2016-10,24,13.0,29.15,AAPL,A
26.57,Apple Inc.,2016-10-23,0.5,10.2,2016-10,24,13.0,28.43,AAPL,A
25.43,Apple Inc.,2016-10-30,0.5,10.2,2016-10,24,13.0,27.21,AAPL,A
25.46,Apple Inc.,2016-11-07,0.5,10.2,2016-11,24,13.0,27.11,AAPL,A
25.85,Apple Inc.,2016-11-14,0.5,10.2,2016-11,24,13.0,27.51,AAPL,A
26.25,Apple Inc.,2016-11-21,0.5,10.2,2016-11,24,13.0,27.95,AAPL,A
25.81,Apple Inc.,2016-11-28,0.5,10.2,2016-11,24,13.0,27.48,AAPL,A
26.76,Apple Inc.,2016-12-05,0.5,10.2,2016-12,24,13.0,28.49,AAPL,A
27.24,Apple Inc.,2016-12-12,0.5,10.2,2016-12,24,13.0,28.99,AAPL,A
27.36,Apple Inc.,2016-12-19,0.5,10.2,2016-12,24,13.0,29.13,AAPL,A
27.20,Apple Inc.,2016-12-26,0.5,10.2,2016-12,24,13.0,28.95,AAPL,A
27.69,Apple Inc.,2017-01-02,0.5,10.2,2017-01,24,13.0,29.48,AAPL,A
27.96,Apple Inc.,2017-01-09,0.5,10.2,2017-01,24,13.0,29.76,AAPL,A
28.18,Apple Inc.,2017-01-16,0.5,10.2,2017-01,24,13.0,30.00,AAPL,A
28.64,Apple Inc.,2017-01-23,0.5,10.2,2017-01,24,13.0,30.49,AAPL,A
30.31,Apple Inc.,2017-01-30,0.5,10.2,2017-01,24,13.0,32.27,AAPL,A
31.03,Apple Inc.,2017-02-06,0.5,10.2,2017-02,24,13.0,33.03,AAPL,A
32.01,Apple Inc.,2017-02-13,0.5,10.2,2017-02,24,13.0,33.93,AAPL,A
32.23,Apple Inc.,2017-02-20,0.5,10.2,2017-02,24,13.0,34.17,AAPL,A
32.97,Apple Inc.,2017-02-27,0.5,10.2,2017-02,24,13.0,34.94,AAPL,A
32.82,Apple Inc.,2017-03-06,0.5,10.2,2017-03,24,13.0,34.78,AAPL,A
33.02,Apple Inc.,2017-03-12,0.5,10.2,2017-03,24,13.0,35.00,AAPL,A
33.17,Apple Inc.,2017-03-19,0.5,10.2,2017-03,24,13.0,35.16,AAPL,A
33.88,Apple Inc.,2017-03-26,0.5,10.2,2017-03,24,13.0,35.92,AAPL,A
33.81,Apple Inc.,2017-04-02,0.5,10.2,2017-04,24,13.0,35.83,AAPL,A
33.27,Apple Inc.,2017-04-09,0.5,10.2,2017-04,24,13.0,35.26,AAPL,A
33.56,Apple Inc.,2017-04-16,0.5,10.2,2017-04,24,13.0,35.57,AAPL,A
33.88,Apple Inc.,2017-04-23,0.5,10.2,2017-04,24,13.0,35.91,AAPL,A
35.13,Apple Inc.,2017-04-30,0.5,10.2,2017-04,24,13.0,37.24,AAPL,A
36.82,Apple Inc.,2017-05-07,0.5,10.2,2017-05,24,13.0,39.03,AAPL,A
36.25,Apple Inc.,2017-05-14,0.5,10.2,2017-05,24,13.0,38.26,AAPL,A
36.38,Apple Inc.,2017-05-21,0.5,10.2,2017-05,24,13.0,38.40,AAPL,A
36.82,Apple Inc.,2017-05-28,0.5,10.2,2017-05,24,13.0,38.86,AAPL,A
35.28,Apple Inc.,2017-06-04,0.5,10.2,2017-06,24,13.0,37.24,AAPL,A
33.70,Apple Inc.,2017-06-11,0.5,10.2,2017-06,24,13.0,35.57,AAPL,A
34.64,Apple Inc.,2017-06-18,0.5,10.2,2017-06,24,13.0,36.57,AAPL,A
34.11,Apple Inc.,2017-06-25,0.5,10.2,2017-06,24,13.0,36.01,AAPL,A
34.15,Apple Inc.,2017-07-02,0.5,10.2,2017-07,24,13.0,36.04,AAPL,A
35.30,Apple Inc.,2017-07-09,0.5,10.2,2017-07,24,13.0,37.26,AAPL,A
35.59,Apple Inc.,2017-07-16,0.5,10.2,2017-07,24,13.0,37.57,AAPL,A
35.41,Apple Inc.,2017-07-23,0.5,10.2,2017-07,24,13.0,37.38,AAPL,A
37.04,Apple Inc.,2017-07-30,0.5,10.2,2017-07,24,13.0,39.10,AAPL,A
37.30,Apple Inc.,2017-08-06,0.5,10.2,2017-08,24,13.0,39.37,AAPL,A
37.45,Apple Inc.,2017-08-13,0.5,10.2,2017-08,24,13.0,39.38,AAPL,A
38.01,Apple Inc.,2017-08-20,0.5,10.2,2017-08,24,13.0,39.97,AAPL,A
39.01,Apple Inc.,2017-08-27,0.5,10.2,2017-08,24,13.0,41.01,AAPL,A
37.72,Apple Inc.,2017-09-03,0.5,10.2,2017-09,24,13.0,39.66,AAPL,A
38.01,Apple Inc.,2017-09-10,0.5,10.2,2017-09,24,13.0,39.97,AAPL,A
36.11,Apple Inc.,2017-09-17,0.5,10.2,2017-09,24,13.0,37.97,AAPL,A
36.65,Apple Inc.,2017-09-24,0.5,10.2,2017-09,24,13.0,38.53,AAPL,A
36.93,Apple Inc.,2017-10-01,0.5,10.2,2017-10,24,13.0,38.83,AAPL,A
37.33,Apple Inc.,2017-10-08,0.5,10.2,2017-10,24,13.0,39.25,AAPL,A
37.15,Apple Inc.,2017-10-15,0.5,10.2,2017-10,24,13.0,39.06,AAPL,A
38.77,Apple Inc.,2017-10-22,0.5,10.2,2017-10,24,13.0,40.76,AAPL,A
41.02,Apple Inc.,2017-10-29,0.5,10.2,2017-10,24,13.0,43.13,AAPL,A
41.53,Apple Inc.,2017-11-06,0.5,10.2,2017-11,24,13.0,43.67,AAPL,A
40.60,Apple Inc.,2017-11-13,0.5,10.2,2017-11,24,13.0,42.54,AAPL,A
41.75,Apple Inc.,2017-11-20,0.5,10.2,2017-11,24,13.0,43.74,AAPL,A
40.82,Apple Inc.,2017-11-27,0.5,10.2,2017-11,24,13.0,42.76,AAPL,A
40.42,Apple Inc.,2017-12-04,0.5,10.2,2017-12,24,13.0,42.34,AAPL,A
41.51,Apple Inc.,2017-12-11,0.5,10.2,2017-12,24,13.0,43.49,AAPL,A
41.76,Apple Inc.,2017-12-18,0.5,10.2,2017-12,24,13.0,43.75,AAPL,A
40.38,Apple Inc.,2017-12-25,0.5,10.2,2017-12,24,13.0,42.31,AAPL,A
41.76,Apple Inc.,2018-01-01,0.5,10.2,2018-01,24,13.0,43.75,AAPL,A
42.26,Apple Inc.,2018-01-08,0.5,10.2,2018-01,24,13.0,44.27,AAPL,A
42.59,Apple Inc.,2018-01-15,0.5,10.2,2018-01,24,13.0,44.62,AAPL,A
40.93,Apple Inc.,2018-01-22,0.5,10.2,2018-01,24,13.0,42.88,AAPL,A
38.30,Apple Inc.,2018-01-29,0.5,10.2,2018-01,24,13.0,40.13,AAPL,A
37.32,Apple Inc.,2018-02-05,0.5,10.2,2018-02,24,13.0,39.10,AAPL,A
41.31,Apple Inc.,2018-02-12,0.5,10.2,2018-02,24,13.0,43.11,AAPL,A
42.05,Apple Inc.,2018-02-19,0.5,10.2,2018-02,24,13.0,43.88,AAPL,A
42.22,Apple Inc.,2018-02-26,0.5,10.2,2018-02,24,13.0,44.05,AAPL,A
43.12,Apple Inc.,2018-03-05,0.5,10.2,2018-03,24,13.0,44.99,AAPL,A
42.65,Apple Inc.,2018-03-11,0.5,10.2,2018-03,24,13.0,44.51,AAPL,A
39.52,Apple Inc.,2018-03-18,0.5,10.2,2018-03,24,13.0,41.24,AAPL,A
40.20,Apple Inc.,2018-03-25,0.5,10.2,2018-03,24,13.0,41.94,AAPL,A
40.34,Apple Inc.,2018-04-01,0.5,10.2,2018-04,24,13.0,42.10,AAPL,A
41.86,Apple Inc.,2018-04-08,0.5,10.2,2018-04,24,13.0,43.68,AAPL,A
39.71,Apple Inc.,2018-04-15,0.5,10.2,2018-04,24,13.0,41.43,AAPL,A
38.89,Apple Inc.,2018-04-22,0.5,10.2,2018-04,24,13.0,40.58,AAPL,A
44.05,Apple Inc.,2018-04-29,0.5,10.2,2018-04,24,13.0,45.96,AAPL,A
45.19,Apple Inc.,2018-05-06,0.5,10.2,2018-05,24,13.0,47.15,AAPL,A
44.81,Apple Inc.,2018-05-13,0.5,10.2,2018-05,24,13.0,46.58,AAPL,A
45.36,Apple Inc.,2018-05-20,0.5,10.2,2018-05,24,13.0,47.15,AAPL,A
45.76,Apple Inc.,2018-05-27,0.5,10.2,2018-05,24,13.0,47.56,AAPL,A
46.11,Apple Inc.,2018-06-03,0.5,10.2,2018-06,24,13.0,47.92,AAPL,A
