adj_stock,company,date,month_year,stock,symbol,rating
42.06,Apple Inc.,2019-03-04,2019-03,43.23,AAPL,
45.27,Apple Inc.,2019-03-10,2019-03,46.53,AAPL,
46.47,Apple Inc.,2019-03-17,2019-03,47.76,AAPL,
46.20,Apple Inc.,2019-03-24,2019-03,47.49,AAPL,
47.92,Apple Inc.,2019-03-31,2019-03,49.25,AAPL,
48.37,Apple Inc.,2019-04-07,2019-04,49.72,AAPL,
49.59,Apple Inc.,2019-04-14,2019-04,50.97,AAPL,
49.70,Apple Inc.,2019-04-21,2019-04,51.08,AAPL,
51.51,Apple Inc.,2019-04-28,2019-04,52.94,AAPL,
47.96,Apple Inc.,2019-05-05,2019-05,49.29,AAPL,
46.15,Apple Inc.,2019-05-12,2019-05,47.25,AAPL,
43.70,Apple Inc.,2019-05-19,2019-05,44.74,AAPL,
42.75,Apple Inc.,2019-05-26,2019-05,43.77,AAPL,
46.43,Apple Inc.,2019-06-02,2019-06,47.54,AAPL,
47.06,Apple Inc.,2019-06-09,2019-06,48.19,AAPL,
48.54,Apple Inc.,2019-06-16,2019-06,49.69,AAPL,
48.33,Apple Inc.,2019-06-23,2019-06,49.48,AAPL,
49.87,Apple Inc.,2019-06-30,2019-06,51.06,AAPL,
49.64,Apple Inc.,2019-07-07,2019-07,50.83,AAPL,
49.47,Apple Inc.,2019-07-14,2019-07,50.65,AAPL,
50.73,Apple Inc.,2019-07-21,2019-07,51.94,AAPL,
49.82,Apple Inc.,2019-07-28,2019-07,51.01,AAPL,
49.08,Apple Inc.,2019-08-04,2019-08,50.25,AAPL,
50.62,Apple Inc.,2019-08-11,2019-08,51.63,AAPL,
49.67,Apple Inc.,2019-08-18,2019-08,50.66,AAPL,
51.16,Apple Inc.,2019-08-25,2019-08,52.19,AAPL,
52.27,Apple Inc.,2019-09-01,2019-09,53.31,AAPL,
53.62,Apple Inc.,2019-09-08,2019-09,54.69,AAPL,
53.37,Apple Inc.,2019-09-15,2019-09,54.43,AAPL,
53.64,Apple Inc.,2019-09-22,2019-09,54.71,AAPL,
55.64,Apple Inc.,2019-09-29,2019-09,56.75,AAPL,
57.90,Apple Inc.,2019-10-06,2019-10,59.05,AAPL,
57.95,Apple Inc.,2019-10-13,2019-10,59.10,AAPL,
60.44,Apple Inc.,2019-10-20,2019-10,61.65,AAPL,
62.70,Apple Inc.,2019-10-27,2019-10,63.96,AAPL,
63.76,Apple Inc.,2019-11-04,2019-11,65.04,AAPL,
65.34,Apple Inc.,2019-11-11,2019-11,66.44,AAPL,
64.36,Apple Inc.,2019-11-18,2019-11,65.44,AAPL,
65.70,Apple Inc.,2019-11-25,2019-11,66.81,AAPL,
66.55,Apple Inc.,2019-12-02,2019-12,67.68,AAPL,
67.64,Apple Inc.,2019-12-09,2019-12,68.79,AAPL,
68.70,Apple Inc.,2019-12-16,2019-12,69.86,AAPL,
71.25,Apple Inc.,2019-12-23,2019-12,72.45,AAPL,
73.12,Apple Inc.,2019-12-30,2019-12,74.36,AAPL,
76.29,Apple Inc.,2020-01-06,2020-01,77.58,AAPL,
78.36,Apple Inc.,2020-01-13,2020-01,79.68,AAPL,
78.26,Apple Inc.,2020-01-20,2020-01,79.58,AAPL,
76.09,Apple Inc.,2020-01-27,2020-01,77.38,AAPL,
78.68,Apple Inc.,2020-02-03,2020-02,80.01,AAPL,
