ticker,company_name,date,rating
BA,BAE SYSTEMS PLC,Nov-16,BBB
BA,BAE SYSTEMS PLC,Dec-17,A
BA,BAE SYSTEMS PLC,Dec-18,A
BA,BAE SYSTEMS PLC,Oct-19,AA
BA,BAE SYSTEMS PLC,Jul-20,AA
CSCO,"CISCO SYSTEMS, INC.",Aug-16,A
CSCO,"CISCO SYSTEMS, INC.",Sep-17,A
CSCO,"CISCO SYSTEMS, INC.",Oct-18,A
CSCO,"CISCO SYSTEMS, INC.",Jul-19,A
CSCO,"CISCO SYSTEMS, INC.",Apr-20,AA
KO,THE COCA-COLA COMPANY,Jun-16,A
KO,THE COCA-COLA COMPANY,Jun-17,A
KO,THE COCA-COLA COMPANY,Jul-18,A
KO,THE COCA-COLA COMPANY,Aug-18,A
KO,THE COCA-COLA COMPANY,Nov-19,AA
MCD,MCDONALD'S CORPORATION,Sep-16,BB
MCD,MCDONALD'S CORPORATION,Jun-17,BB
MCD,MCDONALD'S CORPORATION,Jun-18,BB
MCD,MCDONALD'S CORPORATION,Aug-19,BB
MCD,MCDONALD'S CORPORATION,Jul-20,BB
TRV,"The Travelers Companies, Inc.",May-16,BBB
TRV,"The Travelers Companies, Inc.",May-17,A
TRV,"The Travelers Companies, Inc.",May-18,A
TRV,"The Travelers Companies, Inc.",Aug-19,A
TRV,"The Travelers Companies, Inc.",May-20,A
CRM,"SALESFORCE.COM, INC.",May-16,A
CRM,"SALESFORCE.COM, INC.",Jul-16,A
CRM,"SALESFORCE.COM, INC.",Jun-17,AA
CRM,"SALESFORCE.COM, INC.",Jun-18,AAA
CRM,"SALESFORCE.COM, INC.",Oct-19,AAA
AMGN,AMGEN INC.,Oct-16,BBB
AMGN,AMGEN INC.,Oct-17,BBB
AMGN,AMGEN INC.,Oct-18,A
AMGN,AMGEN INC.,Jun-19,AA
AMGN,AMGEN INC.,May-20,AA
AAPL,APPLE INC.,Aug-16,A
AAPL,APPLE INC.,Oct-16,A
AAPL,APPLE INC.,Aug-17,A
AAPL,APPLE INC.,Sep-18,A
AAPL,APPLE INC.,Nov-19,A
DIS,THE WALT DISNEY COMPANY,Mar-16,A
DIS,THE WALT DISNEY COMPANY,Mar-17,BBB
DIS,THE WALT DISNEY COMPANY,Mar-18,BBB
DIS,THE WALT DISNEY COMPANY,Apr-19,BBB
DIS,THE WALT DISNEY COMPANY,Apr-20,BBB
MSFT,MICROSOFT CORPORATION,May-16,AAA
MSFT,MICROSOFT CORPORATION,May-17,AAA
MSFT,MICROSOFT CORPORATION,Jun-18,AAA
MSFT,MICROSOFT CORPORATION,Mar-19,AAA
MSFT,MICROSOFT CORPORATION,Feb-20,AAA
MRK,"MERCK & CO., INC.",Sep-16,A
MRK,"MERCK & CO., INC.",Jul-17,A
MRK,"MERCK & CO., INC.",Sep-18,A
MRK,"MERCK & CO., INC.",Jun-19,A
MRK,"MERCK & CO., INC.",Feb-20,A
PG,PG&E CORPORATION,Jul-16,BBB
PG,PG&E CORPORATION,Sep-17,BBB
PG,PG&E CORPORATION,Sep-18,BB
PG,PG&E CORPORATION,Apr-19,BB
PG,PG&E CORPORATION,Apr-20,BB
CVX,CHEVRON CORPORATION,Jul-17,B
CVX,CHEVRON CORPORATION,Sep-18,B
CVX,CHEVRON CORPORATION,Apr-19,BB
CVX,CHEVRON CORPORATION,Oct-19,BBB
CVX,CHEVRON CORPORATION,Sep-20,BBB
V,VISA INC.,May-17,BBB
V,VISA INC.,Nov-17,A
V,VISA INC.,Dec-18,A
V,VISA INC.,Dec-19,A
V,VISA INC.,Mar-20,A
WBA,"WALGREENS BOOTS ALLIANCE, INC.",Aug-16,B
WBA,"WALGREENS BOOTS ALLIANCE, INC.",Aug-17,BB
WBA,"WALGREENS BOOTS ALLIANCE, INC.",Jul-18,BB
WBA,"WALGREENS BOOTS ALLIANCE, INC.",Nov-19,BBB
WBA,"WALGREENS BOOTS ALLIANCE, INC.",May-20,BBB
MMM,3M COMPANY,Sep-16,AAA
MMM,3M COMPANY,Aug-17,AAA
MMM,3M COMPANY,Aug-18,AAA
MMM,3M COMPANY,Jul-19,AAA
MMM,3M COMPANY,Jun-20,AAA
VZ,VERIZON COMMUNICATIONS INC.,Feb-17,BB
VZ,VERIZON COMMUNICATIONS INC.,Feb-18,BBB
VZ,VERIZON COMMUNICATIONS INC.,Mar-19,BB
VZ,VERIZON COMMUNICATIONS INC.,Feb-20,BBB
VZ,VERIZON COMMUNICATIONS INC.,Jun-20,BBB
DOW,DOW INC.,Apr-19,BBB
DOW,DOW INC.,Apr-20,BBB
JPM,JPMORGAN CHASE & CO.,Nov-16,BB
JPM,JPMORGAN CHASE & CO.,Sep-17,BB
JPM,JPMORGAN CHASE & CO.,Sep-18,BB
JPM,JPMORGAN CHASE & CO.,Jul-19,BB
JPM,JPMORGAN CHASE & CO.,Jul-20,BB
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,May-16,A
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,May-17,AA
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,Jun-18,AA
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,Sep-19,AA
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,Sep-20,AA
INTC,INTEL CORPORATION,Jan-17,AA
INTC,INTEL CORPORATION,Jan-18,AA
INTC,INTEL CORPORATION,May-19,A
INTC,INTEL CORPORATION,Apr-20,A
INTC,INTEL CORPORATION,Sep-20,A
GS,GS Holdings Corp.,Feb-17,AA
GS,GS Holdings Corp.,Feb-18,A
GS,GS Holdings Corp.,Jun-19,A
GS,GS Holdings Corp.,Apr-20,BBB
GS,GS Holdings Corp.,Jul-20,BBB
NKE,"NIKE, INC.",Sep-15,AA
NKE,"NIKE, INC.",Sep-16,AA
NKE,"NIKE, INC.",Aug-17,AA
NKE,"NIKE, INC.",Aug-18,A
NKE,"NIKE, INC.",Nov-19,A
CAT,CATERPILLAR INC.,May-17,AA
CAT,CATERPILLAR INC.,May-18,AA
CAT,CATERPILLAR INC.,Jun-19,A
CAT,CATERPILLAR INC.,Apr-20,A
CAT,CATERPILLAR INC.,Aug-20,A
HD,"HD SUPPLY HOLDINGS, INC.",Jan-17,BBB
HD,"HD SUPPLY HOLDINGS, INC.",Jan-18,BBB
HD,"HD SUPPLY HOLDINGS, INC.",Jan-19,BBB
HD,"HD SUPPLY HOLDINGS, INC.",Jan-20,BBB
HD,"HD SUPPLY HOLDINGS, INC.",Jun-20,BBB
WMT,WALMART INC.,Sep-16,BBB
WMT,WALMART INC.,Aug-17,BB
WMT,WALMART INC.,Jul-18,BB
WMT,WALMART INC.,Oct-19,BBB
WMT,WALMART INC.,Jun-20,BBB
AXP,AMERICAN EXPRESS COMPANY,Jan-17,A
AXP,AMERICAN EXPRESS COMPANY,Jun-17,A
AXP,AMERICAN EXPRESS COMPANY,Jan-18,AA
AXP,AMERICAN EXPRESS COMPANY,Feb-19,AA
AXP,AMERICAN EXPRESS COMPANY,Jan-20,AA
UNH,UNITEDHEALTH GROUP INCORPORATED,May-16,CCC
UNH,UNITEDHEALTH GROUP INCORPORATED,May-17,B
UNH,UNITEDHEALTH GROUP INCORPORATED,Jun-18,BB
UNH,UNITEDHEALTH GROUP INCORPORATED,Sep-19,BB
