company,date,environment,governance,riskscore,social,stock,symbol
The Coca-Cola Company,"Nov 06, 2020",9.2,5.1,25,10.8,49.45,KO
The Coca-Cola Company,"Oct 31, 2020",9.2,5.1,25,10.8,49.45,KO
The Coca-Cola Company,"Sep 30, 2020",9.2,5.1,25,10.8,48.06,KO
The Coca-Cola Company,"Aug 31, 2020",9.2,5.1,25,10.8,48.97,KO
The Coca-Cola Company,"Jul 31, 2020",9.2,5.1,25,10.8,49.13,KO
The Coca-Cola Company,"Jun 30, 2020",9.2,5.1,25,10.8,46.86,KO
The Coca-Cola Company,"May 31, 2020",9.2,5.1,25,10.8,43.92,KO
The Coca-Cola Company,"Apr 30, 2020",9.2,5.1,25,10.8,45.89,KO
The Coca-Cola Company,"Mar 31, 2020",9.2,5.1,25,10.8,45.11,KO
The Coca-Cola Company,"Mar 01, 2020",9.2,5.1,25,10.8,43.12,KO
The Coca-Cola Company,"Feb 01, 2020",9.2,5.1,25,10.8,52.13,KO
The Coca-Cola Company,"Jan 01, 2020",9.2,5.1,25,10.8,56.91,KO
The Coca-Cola Company,"Dec 01, 2019",9.2,5.1,25,10.8,53.94,KO
The Coca-Cola Company,"Oct 31, 2019",9.2,5.1,25,10.8,51.65,KO
The Coca-Cola Company,"Sep 30, 2019",9.2,5.1,25,10.8,52.65,KO
The Coca-Cola Company,"Aug 31, 2019",9.2,5.1,25,10.8,52.28,KO
The Coca-Cola Company,"Jul 31, 2019",9.2,5.1,25,10.8,52.85,KO
The Coca-Cola Company,"Jun 30, 2019",9.2,5.1,25,10.8,50.54,KO
The Coca-Cola Company,"May 31, 2019",9.2,5.1,25,10.8,48.52,KO
The Coca-Cola Company,"Apr 30, 2019",9.2,5.1,25,10.8,46.81,KO
The Coca-Cola Company,"Mar 31, 2019",9.2,5.1,25,10.8,46.74,KO
The Coca-Cola Company,"Mar 01, 2019",9.2,5.1,25,10.8,44.26,KO
The Coca-Cola Company,"Feb 01, 2019",9.2,5.1,25,10.8,42.83,KO
The Coca-Cola Company,"Jan 01, 2019",9.2,5.1,25,10.8,45.46,KO
The Coca-Cola Company,"Dec 01, 2018",9.2,5.1,25,10.8,44.73,KO
The Coca-Cola Company,"Oct 31, 2018",9.2,5.1,25,10.8,47.23,KO
The Coca-Cola Company,"Sep 30, 2018",9.2,5.1,25,10.8,44.87,KO
The Coca-Cola Company,"Aug 31, 2018",9.2,5.1,25,10.8,42.92,KO
The Coca-Cola Company,"Jul 31, 2018",9.2,5.1,25,10.8,41.42,KO
The Coca-Cola Company,"Jun 30, 2018",9.2,5.1,25,10.8,43.33,KO
The Coca-Cola Company,"May 31, 2018",9.2,5.1,25,10.8,40.40,KO
The Coca-Cola Company,"Apr 30, 2018",9.2,5.1,25,10.8,39.60,KO
The Coca-Cola Company,"Mar 31, 2018",9.2,5.1,25,10.8,39.80,KO
The Coca-Cola Company,"Mar 01, 2018",9.2,5.1,25,10.8,39.65,KO
The Coca-Cola Company,"Feb 01, 2018",9.2,5.1,25,10.8,39.46,KO
The Coca-Cola Company,"Jan 01, 2018",9.2,5.1,25,10.8,43.45,KO
The Coca-Cola Company,"Dec 01, 2017",9.2,5.1,25,10.8,41.89,KO
The Coca-Cola Company,"Oct 31, 2017",9.2,5.1,25,10.8,41.45,KO
The Coca-Cola Company,"Sep 30, 2017",9.2,5.1,25,10.8,41.64,KO
The Coca-Cola Company,"Aug 31, 2017",9.2,5.1,25,10.8,40.44,KO
The Coca-Cola Company,"Jul 31, 2017",9.2,5.1,25,10.8,40.92,KO
The Coca-Cola Company,"Jun 30, 2017",9.2,5.1,25,10.8,41.18,KO
The Coca-Cola Company,"May 31, 2017",9.2,5.1,25,10.8,39.96,KO
The Coca-Cola Company,"Apr 30, 2017",9.2,5.1,25,10.8,40.52,KO
The Coca-Cola Company,"Mar 31, 2017",9.2,5.1,25,10.8,38.45,KO
The Coca-Cola Company,"Mar 01, 2017",9.2,5.1,25,10.8,37.49,KO
The Coca-Cola Company,"Feb 01, 2017",9.2,5.1,25,10.8,37.06,KO
The Coca-Cola Company,"Jan 01, 2017",9.2,5.1,25,10.8,36.72,KO
The Coca-Cola Company,"Dec 01, 2016",9.2,5.1,25,10.8,37.10,KO
The Coca-Cola Company,"Oct 31, 2016",9.2,5.1,25,10.8,35.34,KO
The Coca-Cola Company,"Sep 30, 2016",9.2,5.1,25,10.8,37.14,KO
The Coca-Cola Company,"Aug 31, 2016",9.2,5.1,25,10.8,36.77,KO
The Coca-Cola Company,"Jul 31, 2016",9.2,5.1,25,10.8,37.73,KO
The Coca-Cola Company,"Jun 30, 2016",9.2,5.1,25,10.8,37.90,KO
The Coca-Cola Company,"May 31, 2016",9.2,5.1,25,10.8,39.08,KO
The Coca-Cola Company,"Apr 30, 2016",9.2,5.1,25,10.8,38.45,KO
The Coca-Cola Company,"Mar 31, 2016",9.2,5.1,25,10.8,38.63,KO
The Coca-Cola Company,"Mar 01, 2016",9.2,5.1,25,10.8,39.69,KO
The Coca-Cola Company,"Feb 01, 2016",9.2,5.1,25,10.8,36.90,KO
The Coca-Cola Company,"Jan 01, 2016",9.2,5.1,25,10.8,36.72,KO
The Coca-Cola Company,"Dec 01, 2015",9.2,5.1,25,10.8,36.75,KO
The Coca-Cola Company,"Nov 06, 2020",0.5,4.3,11,6.5,49.45,KO
The Coca-Cola Company,"Oct 31, 2020",0.5,4.3,11,6.5,49.45,KO
The Coca-Cola Company,"Sep 30, 2020",0.5,4.3,11,6.5,48.06,KO
The Coca-Cola Company,"Aug 31, 2020",0.5,4.3,11,6.5,48.97,KO
The Coca-Cola Company,"Jul 31, 2020",0.5,4.3,11,6.5,49.13,KO
The Coca-Cola Company,"Jun 30, 2020",0.5,4.3,11,6.5,46.86,KO
The Coca-Cola Company,"May 31, 2020",0.5,4.3,11,6.5,43.92,KO
The Coca-Cola Company,"Apr 30, 2020",0.5,4.3,11,6.5,45.89,KO
The Coca-Cola Company,"Mar 31, 2020",0.5,4.3,11,6.5,45.11,KO
The Coca-Cola Company,"Mar 01, 2020",0.5,4.3,11,6.5,43.12,KO
The Coca-Cola Company,"Feb 01, 2020",0.5,4.3,11,6.5,52.13,KO
The Coca-Cola Company,"Jan 01, 2020",0.5,4.3,11,6.5,56.91,KO
The Coca-Cola Company,"Dec 01, 2019",0.5,4.3,11,6.5,53.94,KO
The Coca-Cola Company,"Oct 31, 2019",0.5,4.3,11,6.5,51.65,KO
The Coca-Cola Company,"Sep 30, 2019",0.5,4.3,11,6.5,52.65,KO
The Coca-Cola Company,"Aug 31, 2019",0.5,4.3,11,6.5,52.28,KO
The Coca-Cola Company,"Jul 31, 2019",0.5,4.3,11,6.5,52.85,KO
The Coca-Cola Company,"Jun 30, 2019",0.5,4.3,11,6.5,50.54,KO
The Coca-Cola Company,"May 31, 2019",0.5,4.3,11,6.5,48.52,KO
The Coca-Cola Company,"Apr 30, 2019",0.5,4.3,11,6.5,46.81,KO
The Coca-Cola Company,"Mar 31, 2019",0.5,4.3,11,6.5,46.74,KO
The Coca-Cola Company,"Mar 01, 2019",0.5,4.3,11,6.5,44.26,KO
