company,date,environment,governance,riskscore,social,stock,symbol
International Business Machines Corporation,"Oct 31, 2020",0.4,7.3,18,10.1,122.57,IBM
International Business Machines Corporation,"Sep 30, 2020",0.4,7.3,18,10.1,110.06,IBM
International Business Machines Corporation,"Aug 31, 2020",0.4,7.3,18,10.1,119.93,IBM
International Business Machines Corporation,"Jul 31, 2020",0.4,7.3,18,10.1,119.98,IBM
International Business Machines Corporation,"Jun 30, 2020",0.4,7.3,18,10.1,119.62,IBM
International Business Machines Corporation,"May 31, 2020",0.4,7.3,18,10.1,117.51,IBM
International Business Machines Corporation,"Apr 30, 2020",0.4,7.3,18,10.1,119.92,IBM
International Business Machines Corporation,"Mar 31, 2020",0.4,7.3,18,10.1,120.55,IBM
International Business Machines Corporation,"Mar 01, 2020",0.4,7.3,18,10.1,106.50,IBM
International Business Machines Corporation,"Feb 01, 2020",0.4,7.3,18,10.1,123.66,IBM
International Business Machines Corporation,"Jan 01, 2020",0.4,7.3,18,10.1,136.57,IBM
International Business Machines Corporation,"Dec 01, 2019",0.4,7.3,18,10.1,127.36,IBM
International Business Machines Corporation,"Oct 31, 2019",0.4,7.3,18,10.1,126.26,IBM
International Business Machines Corporation,"Sep 30, 2019",0.4,7.3,18,10.1,125.58,IBM
International Business Machines Corporation,"Aug 31, 2019",0.4,7.3,18,10.1,136.56,IBM
International Business Machines Corporation,"Jul 31, 2019",0.4,7.3,18,10.1,125.79,IBM
International Business Machines Corporation,"Jun 30, 2019",0.4,7.3,18,10.1,137.59,IBM
International Business Machines Corporation,"May 31, 2019",0.4,7.3,18,10.1,127.99,IBM
International Business Machines Corporation,"Apr 30, 2019",0.4,7.3,18,10.1,116.48,IBM
International Business Machines Corporation,"Mar 31, 2019",0.4,7.3,18,10.1,128.66,IBM
International Business Machines Corporation,"Mar 01, 2019",0.4,7.3,18,10.1,129.42,IBM
International Business Machines Corporation,"Feb 01, 2019",0.4,7.3,18,10.1,125.24,IBM
International Business Machines Corporation,"Jan 01, 2019",0.4,7.3,18,10.1,121.88,IBM
International Business Machines Corporation,"Dec 01, 2018",0.4,7.3,18,10.1,103.06,IBM
International Business Machines Corporation,"Oct 31, 2018",0.4,7.3,18,10.1,111.26,IBM
International Business Machines Corporation,"Sep 30, 2018",0.4,7.3,18,10.1,103.34,IBM
International Business Machines Corporation,"Aug 31, 2018",0.4,7.3,18,10.1,135.38,IBM
International Business Machines Corporation,"Jul 31, 2018",0.4,7.3,18,10.1,129.74,IBM
International Business Machines Corporation,"Jun 30, 2018",0.4,7.3,18,10.1,128.37,IBM
International Business Machines Corporation,"May 31, 2018",0.4,7.3,18,10.1,123.73,IBM
International Business Machines Corporation,"Apr 30, 2018",0.4,7.3,18,10.1,123.79,IBM
International Business Machines Corporation,"Mar 31, 2018",0.4,7.3,18,10.1,126.98,IBM
International Business Machines Corporation,"Mar 01, 2018",0.4,7.3,18,10.1,134.40,IBM
International Business Machines Corporation,"Feb 01, 2018",0.4,7.3,18,10.1,135.17,IBM
International Business Machines Corporation,"Jan 01, 2018",0.4,7.3,18,10.1,142.00,IBM
International Business Machines Corporation,"Dec 01, 2017",0.4,7.3,18,10.1,133.08,IBM
International Business Machines Corporation,"Oct 31, 2017",0.4,7.3,18,10.1,128.07,IBM
International Business Machines Corporation,"Sep 30, 2017",0.4,7.3,18,10.1,132.32,IBM
International Business Machines Corporation,"Aug 31, 2017",0.4,7.3,18,10.1,124.60,IBM
International Business Machines Corporation,"Jul 31, 2017",0.4,7.3,18,10.1,121.56,IBM
International Business Machines Corporation,"Jun 30, 2017",0.4,7.3,18,10.1,122.95,IBM
International Business Machines Corporation,"May 31, 2017",0.4,7.3,18,10.1,130.74,IBM
International Business Machines Corporation,"Apr 30, 2017",0.4,7.3,18,10.1,128.46,IBM
International Business Machines Corporation,"Mar 31, 2017",0.4,7.3,18,10.1,134.91,IBM
International Business Machines Corporation,"Mar 01, 2017",0.4,7.3,18,10.1,146.57,IBM
International Business Machines Corporation,"Feb 01, 2017",0.4,7.3,18,10.1,150.16,IBM
International Business Machines Corporation,"Jan 01, 2017",0.4,7.3,18,10.1,145.73,IBM
International Business Machines Corporation,"Dec 01, 2016",0.4,7.3,18,10.1,138.61,IBM
International Business Machines Corporation,"Oct 31, 2016",0.4,7.3,18,10.1,134.25,IBM
International Business Machines Corporation,"Sep 30, 2016",0.4,7.3,18,10.1,127.19,IBM
International Business Machines Corporation,"Aug 31, 2016",0.4,7.3,18,10.1,131.46,IBM
International Business Machines Corporation,"Jul 31, 2016",0.4,7.3,18,10.1,130.36,IBM
International Business Machines Corporation,"Jun 30, 2016",0.4,7.3,18,10.1,131.78,IBM
International Business Machines Corporation,"May 31, 2016",0.4,7.3,18,10.1,124.53,IBM
International Business Machines Corporation,"Apr 30, 2016",0.4,7.3,18,10.1,123.74,IBM
International Business Machines Corporation,"Mar 31, 2016",0.4,7.3,18,10.1,117.47,IBM
International Business Machines Corporation,"Mar 01, 2016",0.4,7.3,18,10.1,121.90,IBM
International Business Machines Corporation,"Feb 01, 2016",0.4,7.3,18,10.1,104.40,IBM
International Business Machines Corporation,"Jan 01, 2016",0.4,7.3,18,10.1,99.43,IBM
International Business Machines Corporation,"Dec 01, 2015",0.4,7.3,18,10.1,109.65,IBM
