company,date,environment,governance,riskscore,social,stock,symbol
NIKE Inc.,"Oct 31, 2020",2,7.5,16,6.6,128.9,NKE
NIKE Inc.,"Sep 30, 2020",2,7.5,16,6.6,120.08,NKE
NIKE Inc.,"Aug 31, 2020",2,7.5,16,6.6,125.54,NKE
NIKE Inc.,"Jul 31, 2020",2,7.5,16,6.6,111.64,NKE
NIKE Inc.,"Jun 30, 2020",2,7.5,16,6.6,97.39,NKE
NIKE Inc.,"May 31, 2020",2,7.5,16,6.6,97.83,NKE
NIKE Inc.,"Apr 30, 2020",2,7.5,16,6.6,98.12,NKE
NIKE Inc.,"Mar 31, 2020",2,7.5,16,6.6,86.77,NKE
NIKE Inc.,"Mar 01, 2020",2,7.5,16,6.6,82.35,NKE
NIKE Inc.,"Feb 01, 2020",2,7.5,16,6.6,88.71,NKE
NIKE Inc.,"Jan 01, 2020",2,7.5,16,6.6,95.58,NKE
NIKE Inc.,"Dec 01, 2019",2,7.5,16,6.6,100.56,NKE
NIKE Inc.,"Oct 31, 2019",2,7.5,16,6.6,92.55,NKE
NIKE Inc.,"Sep 30, 2019",2,7.5,16,6.6,88.65,NKE
NIKE Inc.,"Aug 31, 2019",2,7.5,16,6.6,92.98,NKE
NIKE Inc.,"Jul 31, 2019",2,7.5,16,6.6,83.44,NKE
NIKE Inc.,"Jun 30, 2019",2,7.5,16,6.6,84.95,NKE
NIKE Inc.,"May 31, 2019",2,7.5,16,6.6,81.41,NKE
NIKE Inc.,"Apr 30, 2019",2,7.5,16,6.6,75.96,NKE
NIKE Inc.,"Mar 31, 2019",2,7.5,16,6.6,86.48,NKE
NIKE Inc.,"Mar 01, 2019",2,7.5,16,6.6,82.71,NKE
NIKE Inc.,"Feb 01, 2019",2,7.5,16,6.6,84.2,NKE
NIKE Inc.,"Jan 01, 2019",2,7.5,16,6.6,80.42,NKE
NIKE Inc.,"Dec 01, 2018",2,7.5,16,6.6,72.82,NKE
NIKE Inc.,"Oct 31, 2018",2,7.5,16,6.6,73.56,NKE
NIKE Inc.,"Sep 30, 2018",2,7.5,16,6.6,73.48,NKE
NIKE Inc.,"Aug 31, 2018",2,7.5,16,6.6,82.96,NKE
NIKE Inc.,"Jul 31, 2018",2,7.5,16,6.6,80.3,NKE
NIKE Inc.,"Jun 30, 2018",2,7.5,16,6.6,75.13,NKE
